"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Toledo","Toledo","OH","Toledo, OH","""Toledo, OH""",62,0.434183954470351,66.39,14.2499,7.7454,56900,0,-1.21527777777778,0.0145518453427065,86.7,0.320534068148675,0.0392804657806429,92
"City","Silver Spring","Silver Spring","MD","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",63,2.76941435652653,83.72,8.9891,1.4914,363100,0.137892995035852,-1.62557572473584,-0.0135720187276233,33.4,0.149635305876847,0.0513295862190367,93
"City","Lexington","Lexington","KY","Lexington, KY","""Lexington-Fayette, KY""",64,7.80980356159354,84.8,,,152700,0.592885375494071,3.94826412525528,0.0318925998690243,5.7,0.121800786473753,0.0178627530178519,78
"City","Newark","Newark","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",65,0.273545070681109,,,,197300,0.050709939148073,2.28097459823743,0.00819057273188029,85,0.41562011323206,0.264853821350322,141
"City","Tallahassee","Tallahassee","FL","Tallahassee, FL","""Tallahassee, FL""",66,0.382779511657793,72.73,,,156000,0.192678227360308,2.16110019646365,0.0193012820512821,86.7,0.193661684033903,0.0580005735806905,73
"City","Stockton","Stockton","CA","Stockton, CA","""Stockton-Lodi, CA""",67,5.80319441894621,90.16,12.1646,4.8509,213000,0.519112789051439,11.98738170347,0.0884319248826291,74.1,0.219403540934695,0.040578493022629,77
"City","Plano","Plano","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",68,9.81274095832568,88.94,2.9975,1.4799,273500,0.551470588235294,16.9303120991877,0.0622778793418648,28.4,0.0398576358214904,0.00885696662099416,47
"City","Chandler","Chandler","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",69,6.93042041490729,80.14,4.976,2.8194,258500,0.583657587548638,5.20960520960521,0.03042166344294,48.7,0.13865063513502,0.0197353903145222,63
"City","Louisville","Louisville","KY","Louisville/Jefferson County, KY","""Louisville/Jefferson County, KY-IN""",70,7.50137690471819,,,,104200,0.192307692307692,3.27056491575818,0.0299712092130517,2.1,0.117278626526228,0.0438243496670049,90
"City","Henderson","Henderson","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",71,4.08573526711952,66.67,9.1004,4.6018,248500,0.770478507704785,6.88172043010753,0.0520120724346076,80.3,0.208427366919077,0.0651358913250555,77
"City","Modesto","Modesto","CA","Modesto, CA","""Modesto, CA""",72,6.66146502662016,88.89,10.7747,2.9787,220600,0.592795257637939,10.5764411027569,0.0505575702629193,66.8,0.17232221756993,0.0341022128710136,66
"City","Mobile","Mobile","AL","Mobile, AL","""Mobile, AL""",73,0.988617587662934,72.34,16.4721,11.5314,1e+05,0,1.52284263959391,0.0242899999999999,72.8,0.211693348779898,0.0398736829267926,109
"City","Jersey City","Jersey City","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",74,6.99926565081696,,,,333600,1.02967898243489,13.276740237691,0.0428507194244605,32.3,0.2400538051036,0.134869760502829,141
"City","Lubbock","Lubbock","TX","Lubbock, TX","""Lubbock, TX""",75,6.69359280337801,76.09,,,111000,0.361663652802893,3.64145658263305,0.0487207207207208,31.4,0.101656910755911,0.0221351200753829,73
"City","Glendale","Glendale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",76,5.46355792179181,87.04,9.9452,2.9184,182800,1.05030403537866,8.87432995830852,0.0409737417943108,92.6,0.192519367401887,0.026486936650312,60
"City","Durham","Durham","NC","Durham, NC","""Durham-Chapel Hill, NC""",77,5.86102441711034,81.85,,,167600,0.419412822049131,4.81550969355847,0.0339976133651552,37.1,0.108617431941345,0.0290710608926293,76
"City","Orlando","Orlando","FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",78,4.70993207270057,72.38,,,142200,1.06609808102345,7.15900527505652,0.0327988748241912,120.2,0.191257842026586,0.071249402324213,92
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",79,4.18579034330824,82.05,,,146200,1.24653739612188,11.9448698315467,0.0274555403556771,111.8,0.187396176537171,0.0814711456974014,84
"City","Pensacola","Pensacola","FL","Pensacola, FL","""Pensacola-Ferry Pass-Brent, FL""",80,2.8804846704608,71.35,,,114500,0.526777875329236,3.61990950226244,0.0251441048034935,79.8,0.190797552372963,0.0543454624957811,111
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN","""Fort Wayne, IN""",81,5.79401505415825,100,,,89000,0.338218714768884,1.59817351598174,0.0255056179775281,8.4,0.181092085235106,0.0348188363051251,
"City","Greensboro","Greensboro","NC","Greensboro, NC","""Greensboro-High Point, NC""",82,4.27483018175142,69.29,,,118900,0.16849199663016,2.76577355229041,0.0348444070647602,41.2,0.148771024298468,0.0536860424171542,109
"City","Lincoln","Lincoln","NE","Lincoln, NE","""Lincoln, NE""",83,8.31191481549477,90.16,2.3678,1.7705,144700,0.346740638002774,3.35714285714286,0.0308154803040774,28.8,0.0690382993580634,0.0185207533886235,65
"City","San Bernardino","San Bernardino","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",84,5.34697998898476,85.53,10.0589,4.9346,210500,0.669536107125777,8.95445134575569,0.0606080760095011,79.2,0.217144797255798,0.0493589317958798,77
"City","Corona","Corona","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",85,5.07527079126124,79.59,8.0228,2.2729,410100,0.342549547345241,2.11653386454183,0.0399024628139477,49.8,0.114338354994047,0.0414304440990238,68
"City","Chula Vista","Chula Vista","CA","San Diego, CA","""San Diego-Carlsbad, CA""",86,4.63190747200294,88.35,7.0553,1.9554,438300,0.504471451501949,6.30608780014553,0.021708875199635,66.4,0.11229299873288,0.0459617669910205,62
"City","Chesapeake","Chesapeake","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",87,3.06223609326235,69.81,,,243300,0.288540807914262,2.48525695029486,0.0088121660501439,4.5,0.200841052570462,0.0307052606320235,93.5
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",88,3.35505782999816,76.27,,,175400,1.38728323699422,11.5776081424936,0.00140820980615741,90.4,0.204505390693851,0.0841633781999495,97
"City","Town of Madison","Town of Madison","WI","Madison, WI","""Madison, WI""",89,8.03653387185607,83.4,1.5523,1.7937,190300,0.581395348837209,1.92822710230316,0.024582238570678,25.3,0.0818406746059534,0.01759160370651,74
"City","Garland","Garland","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",90,8.38718560675601,91.07,9.5882,3.5978,137900,1.02564102564103,18.1662382176521,0.0652791878172589,46,0.0524345817013592,0.0347315397949807,53
"City","Fontana","Fontana","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",91,5.85827060767395,93.59,9.2316,2.8647,315700,0.381558028616852,5.86854460093897,0.052166613873931,70.5,0.137957356557669,0.0573217954194569,72
"City","Fort Myers","Fort Myers","FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",92,7.62438039287681,81.48,,,176700,0.798630918425556,8.60479409956976,0.0373231465761177,80,0.130499139363494,0.0515854163719458,111
"City","Knoxville","Knoxville","TN","Knoxville, TN","""Knoxville, TN""",93,3.82045162474757,,,,115700,0.434027777777778,0.52128583840139,0.026179775280899,104.2,0.137883025825265,0.0189063106632918,89
"City","Laredo","Laredo","TX","Laredo, TX","""Laredo, TX""",94,5.59482283825959,100,,,110600,-0.270513976555455,-2.03720106288751,0.0396564195298372,13.6,0.145385694851771,0.0387559854525461,
"City","North Las Vegas","North Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",95,1.33835138608408,80,18.5781,7.7277,173900,0.636574074074074,6.75260896255371,0.0534445083381254,110.3,0.303743838801185,0.088155339184515,69
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",96,4.66219937580319,74.23,,,161500,0.497822028624767,6.46011865524061,0.0411145510835913,70.4,0.161332074685628,0.043357347819956,82
"City","Fremont","Fremont","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",97,9.75307508720397,98.7,1.8875,0.7574,844200,1.11390585698886,15.6596794081381,0.0378914949064202,40.1,0.0350546812382691,0.012872634802408,43
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC","""Fayetteville, NC""",98,1.0381861575179,72.36,19.0567,8.8903,106000,-0.37593984962406,-1.21155638397018,0.033745283018868,49.9,0.279829647765773,0.041814876225982,116
"City","Springfield","Springfield","MO","Springfield, MO","""Springfield, MO""",99,4.12428859922893,82.35,,,107300,0.374181478016838,1.89933523266857,0.03237651444548,39.1,0.165341883397926,0.0183084119892854,74
"City","Arlington","Arlington","VA","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",100,7.94382228749771,86.21,1.5229,0.7679,607700,-0.164284540824708,0.363336085879438,-0.00913279578739512,18.2,0.100357994015697,0.00920653429754076,65.5
"City","Irving","Irving","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",101,8.90490178079677,73.08,7.6177,2.0825,147400,0.820793433652531,13.9984532095901,0.0603527815468115,39.5,0.0659518389684773,0.0163978623781974,59
"City","Gilbert","Gilbert","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",102,6.75417661097852,83.66,4.4168,3.3103,274900,0.695970695970696,6.2620796289138,0.0331174972717352,68.8,0.160544659895308,0.0178304009028359,62
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",103,8.72590416743161,83.33,4.2723,1.5637,406800,0.568603213844252,5.36130536130536,0.0279424778761062,62.6,0.111681485286175,0.0181037501533838,95
"City","Rochester","Rochester","NY","Rochester, NY","""Rochester, NY""",104,1.85514962364604,85.29,14.2131,10.1843,64200,0,4.73083197389886,0.0208722741433023,84,0.0875718470298522,0.10911898789501,95
